Designator,Mid X,Mid Y,Rotation,Layer
C1,100.325,-70.75,180.0,top
C10,141.8,-90.05,0.0,bottom
C12,122.33311,-81.390218,315.0,bottom
C13,124.88311,-82.040218,225.0,bottom
C15,129.1,-67.1,180.0,bottom
C16,128.875,-68.65,180.0,bottom
C17,128.575,-70.3,180.0,bottom
C18,116.73311,-74.940218,315.0,bottom
C19,138.05,-69.2,0.0,bottom
C2,105.0,-70.75,0.0,top
C20,116.95,-70.6,90.0,bottom
C21,135.325,-80.1,0.0,bottom
C22,130.68311,-78.590218,315.0,top
C23,114.35,-92.025,270.0,bottom
C24,126.435102,-82.74221,315.0,top
C25,108.1,-92.1,270.0,bottom
C26,135.5,-74.8,0.0,top
C27,136.05,-65.05,180.0,bottom
C28,115.375,-70.6,90.0,bottom
C3,106.925,-73.3,0.0,top
C4,101.65,-88.3,90.0,top
C5,99.95,-85.625,90.0,top
C6,115.45,-88.15,180.0,bottom
C7,111.8,-88.15,0.0,bottom
C8,110.225,-51.15,0.0,bottom
C9,101.325,-51.6,0.0,bottom
D1,108.8,-77.95,90.0,top
D2,115.55,-48.5,90.0,bottom
D3,135.25,-60.85,180.0,top
D4,111.95,-92.0,180.0,top
D5,121.620737,-82.715091,0.0,top
D6,106.55,-62.55,90.0,top
FB1,126.05,-67.1,180.0,bottom
J1,101.0,-63.85,90.0,top
J10,120.425,-91.05,180.0,top
J2,111.43,-48.4,270.0,top
J3,143.1,-85.73,180.0,top
J4,122.1,-48.3,0.0,top
J5,142.4,-60.65,270.0,top
J6,142.4,-67.725,270.0,top
J8,130.0,-91.05,180.0,top
J9,142.35,-76.725,270.0,top
L1,113.9,-85.25,0.0,top
Q1,106.2125,-49.2,0.0,bottom
R1,100.2,-76.0,270.0,top
R11,109.55,-91.2,90.0,top
R12,135.325,-81.65,180.0,bottom
R13,123.908237,-82.565091,90.0,top
R15,124.28311,-74.640218,135.0,bottom
R16,134.175,-63.5,180.0,top
R17,137.225,-63.5,180.0,top
R18,119.38311,-80.590218,135.0,bottom
R2,101.025,-72.7,180.0,top
R3,98.7,-73.475,270.0,top
R4,101.55,-85.25,270.0,top
R5,99.05,-82.15,90.0,top
R6,100.15,-79.1,90.0,top
R7,103.8,-52.3,90.0,bottom
R8,140.125,-91.75,0.0,bottom
R9,103.15,-49.075,270.0,bottom
SW1,135.35,-80.1,0.0,top
U1,123.305895,-74.830769,45.0,top
U2,111.1875,-92.1,180.0,bottom
U3,103.765,-77.95,270.0,top
U4,135.65,-69.55,0.0,top
U5,122.25,-58.2025,270.0,top
U6,121.7,-70.45,270.0,bottom
Y1,128.73311,-80.840218,225.0,top
